voted_up,review,playtime_forever
True,really immersive and fun with a fire story would reccomend in 2026,8.316666666666666
True,POV you live in the United States post Covid 19.,51.21666666666667
True,nice,37.9
True,amazing game and amazing story. the world really feels like it's alive and the game has been overhauled from where it was to one of the best games out there.,125.13333333333334
True,"Runs badly, but it's playable.",21.233333333333334
True,Waited years to play this because of the sorry state it launched in. Glad i did great game now.,60.86666666666667
True,Great storyline. Multiple endings. Lots to do.,74.05
True,"Amazing world, gameplay, story, and dlc.",70.46666666666667
True,Mods added 100+ hours more gameplay,234.36666666666667
True,"Marvelous, and spectacular. I'm now enamored with the cyberpunk genre.",154.95
True,Just now realizing I never left a review for this game. Just know its peak. Funny enough I usually don't even like shooters but Cyberpunk did it different. I heavily fw this game.,284.26666666666665
True,"Great game, a few crashes but no big deal. Tons of content and the story is pretty good.",84.91666666666667
